employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,commission_pct,manager_id,department_id
152,Peter,Hall,PHALL,011.44.1344.478968,2005-08-20,SA_REP,9450.0,0.25,145.0,80.0
153,Christopher,Olsen,COLSEN,011.44.1344.498718,2006-03-30,SA_REP,9261.0,0.2,145.0,80.0
154,Nanette,Cambrault,NCAMBRAU,011.44.1344.987668,2006-12-09,SA_REP,8682.19,0.2,145.0,80.0
155,Oliver,Tuvault,OTUVAULT,011.44.1344.486508,2007-11-23,SA_REP,8103.38,0.15,145.0,80.0
156,Janette,King,JKING,011.44.1345.429268,2004-01-30,SA_REP,10000.0,0.35,146.0,80.0
157,Patrick,Sully,PSULLY,011.44.1345.929268,2004-03-04,SA_REP,9500.0,0.35,146.0,80.0
158,Allan,Mcewen,AMCEWEN,011.44.1345.829268,2004-08-01,SA_REP,9450.0,0.35,146.0,80.0
159,Lindsey,Smith,LSMITH,011.44.1345.729268,2005-03-10,SA_REP,9261.0,0.3,146.0,80.0
160,Louise,Doran,LDORAN,011.44.1345.629268,2005-12-15,SA_REP,8682.19,0.3,146.0,80.0
161,Sarath,Sewall,SSEWALL,011.44.1345.529268,2006-11-03,SA_REP,8103.38,0.25,146.0,80.0
162,Clara,Vishney,CVISHNEY,011.44.1346.129268,2005-11-11,SA_REP,10500.0,0.25,147.0,80.0
163,Danielle,Greene,DGREENE,011.44.1346.229268,2007-03-19,SA_REP,9500.0,0.15,147.0,80.0
164,Mattea,Marvins,MMARVINS,011.44.1346.329268,2008-01-24,SA_REP,8334.9,0.1,147.0,80.0
165,David,Lee,DLEE,011.44.1346.529268,2008-02-23,SA_REP,7871.85,0.1,147.0,80.0
166,Sundar,Ande,SANDE,011.44.1346.629268,2008-03-24,SA_REP,7408.8,0.1,147.0,80.0
167,Amit,Banda,ABANDA,011.44.1346.729268,2008-04-21,SA_REP,7177.28,0.1,147.0,80.0
168,Lisa,Ozer,LOZER,011.44.1343.929268,2005-03-11,SA_REP,11500.0,0.25,148.0,80.0
169,Harrison,Bloom,HBLOOM,011.44.1343.829268,2006-03-23,SA_REP,10000.0,0.2,148.0,80.0
170,Tayler,Fox,TFOX,011.44.1343.729268,2006-01-24,SA_REP,9600.0,0.2,148.0,80.0
171,William,Smith,WSMITH,011.44.1343.629268,2007-02-23,SA_REP,8566.43,0.15,148.0,80.0
172,Elizabeth,Bates,EBATES,011.44.1343.529268,2007-03-24,SA_REP,8450.66,0.15,148.0,80.0
173,Sundita,Kumar,SKUMAR,011.44.1343.329268,2008-04-21,SA_REP,7061.51,0.1,148.0,80.0
174,Ellen,Abel,EABEL,011.44.1644.429267,2004-05-11,SA_REP,11000.0,0.3,149.0,80.0
175,Alyssa,Hutton,AHUTTON,011.44.1644.429266,2005-03-19,SA_REP,9702.0,0.25,149.0,80.0
176,Jonathon,Taylor,JTAYLOR,011.44.1644.429265,2006-03-24,SA_REP,9955.58,0.2,149.0,80.0
177,Jack,Livingston,JLIVINGS,011.44.1644.429264,2006-04-23,SA_REP,9724.05,0.2,149.0,80.0
178,Kimberely,Grant,KGRANT,011.44.1644.429263,2007-05-24,SA_REP,7000.0,0.15,149.0,
179,Charles,Johnson,CJOHNSON,011.44.1644.429262,2008-01-04,SA_REP,7177.28,0.1,149.0,80.0
180,Winston,Taylor,WTAYLOR,650.507.9876,2006-01-24,SH_CLERK,3706.72,,120.0,50.0
181,Jean,Fleaur,JFLEAUR,650.507.9877,2006-02-23,SH_CLERK,3590.96,,120.0,50.0
182,Martha,Sullivan,MSULLIVA,650.507.9878,2007-06-21,SH_CLERK,2896.38,,120.0,50.0
183,Girard,Geoni,GGEONI,650.507.9879,2008-02-03,SH_CLERK,3243.67,,120.0,50.0
184,Nandita,Sarchand,NSARCHAN,650.509.1876,2004-01-27,SH_CLERK,4202.0,,121.0,50.0
185,Alexis,Bull,ABULL,650.509.2876,2005-02-20,SH_CLERK,4102.0,,121.0,50.0
186,Julia,Dellinger,JDELLING,650.509.3876,2006-06-24,SH_CLERK,3938.25,,121.0,50.0
187,Anthony,Cabrio,ACABRIO,650.509.4876,2007-02-07,SH_CLERK,3475.2,,121.0,50.0
188,Kelly,Chung,KCHUNG,650.505.1876,2005-06-14,SH_CLERK,3802.0,,122.0,50.0
189,Jennifer,Dilly,JDILLY,650.505.2876,2005-08-13,SH_CLERK,3782.1,,122.0,50.0
190,Timothy,Gates,TGATES,650.505.3876,2006-07-11,SH_CLERK,3359.43,,122.0,50.0
191,Randall,Perkins,RPERKINS,650.505.4876,2007-12-19,SH_CLERK,2896.38,,122.0,50.0
192,Sarah,Bell,SBELL,650.501.1876,2004-02-04,SH_CLERK,4002.0,,123.0,50.0
193,Britney,Everett,BEVERETT,650.501.2876,2005-03-03,SH_CLERK,3902.0,,123.0,50.0
194,Samuel,Mccain,SMCCAIN,650.501.3876,2006-07-01,SH_CLERK,3706.72,,123.0,50.0
195,Vance,Jones,VJONES,650.501.4876,2007-03-17,SH_CLERK,3243.67,,123.0,50.0
196,Alana,Walsh,AWALSH,650.507.9811,2006-04-24,SH_CLERK,3590.96,,124.0,50.0
197,Kevin,Feeney,KFEENEY,650.507.9822,2006-05-23,SH_CLERK,3475.2,,124.0,50.0
198,Donald,Oconnell,DOCONNEL,650.507.9833,2007-06-21,SH_CLERK,3012.15,,124.0,50.0
199,Douglas,Grant,DGRANT,650.507.9844,2008-01-13,SH_CLERK,3012.15,,124.0,50.0
200,Jennifer,Whalen,JWHALEN,515.123.4444,2003-09-17,AD_ASST,4400.0,,101.0,10.0
201,Michael,Hartstein,MHARTSTE,515.123.5555,2004-02-17,MK_MAN,13000.0,,100.0,20.0
202,Pat,Fay,PFAY,603.123.6666,2005-08-17,MK_REP,6945.75,,201.0,20.0
203,Susan,Mavris,SMAVRIS,515.123.7777,2002-06-07,HR_REP,6500.0,,101.0,40.0
204,Hermann,Baer,HBAER,515.123.8888,2002-06-07,PR_REP,10000.0,,101.0,70.0
205,Shelley,Higgins,SHIGGINS,515.123.8080,2002-06-07,AC_MGR,12008.0,,101.0,110.0
206,William,Gietz,WGIETZ,515.123.8181,2002-06-07,AC_ACCOUNT,9608.29,,205.0,110.0
